City,State,Type,Population [2011],Popuation [2001],Rate For 10 Years(%),Rate for 1 Year(%),Rate for 1 Month(%),New Population for 2021,Population Estimated for 2021,Growth Rate till 2020,New Population till 2020,Population Estimated for 2020,Growth Rate till 2020,New Population till 2019,Population Estimated for 2019,Rate For Jan to Aug(%),New Population for 2020 Aug,Population Estimated for 2020 Till Aug
Siwan,Bihar,C-1T,"1,33,563","1,09,919",21.51038492,2.151038492,0.179253208,28729,162292,19.35934643,25856,159419,17.20830794,22983,156546,1.434025664,1915,158461
Bettiah,Bihar,C-1T,"1,32,896","1,16,670",13.90760264,1.390760264,0.115896689,18482,151378,12.51684238,16634,149530,11.12608211,14786,147682,0.927173512,1232,148914
Ramgarh,Jharkhand,C-1T,"1,32,441","73,455",80.30222585,8.030222585,0.669185215,106353,238794,72.27200327,95717,228158,64.24178068,85082,217523,5.35348172,7090,224613
Tinsukia,Assam,C-1T,"1,26,389","1,01,957",23.96304324,2.396304324,0.199692027,30286,156675,21.56673892,27257,153646,19.17043459,24229,150618,1.597536216,2019,152637
Guntakal,Andhra Pradesh,C-1T,"1,26,270","1,01,522",24.37698233,2.437698233,0.203141519,30780,157050,21.9392841,27702,153972,19.50158586,24624,150894,1.625132152,2052,152946
Srikakulam,Andhra Pradesh,C-1T,"1,25,939","94,585",33.1490194,3.31490194,0.276241828,41747,167686,29.83411746,37572,163511,26.51921552,33398,159337,2.209934624,2783,162120
Motihari,Bihar,C-1T,"1,25,183","1,00,683",24.33380015,2.433380015,0.202781668,30461,155644,21.90042014,27415,152598,19.46704012,24369,149552,1.622253344,2030,151582
Phagwara,Punjab,MCorp,"1,22,302","88,450",38.27247032,3.827247032,0.318937253,46807,169109,34.44522329,42127,164429,30.61797626,37446,159748,2.551498024,3120,162868
Dharmavaram,Andhra Pradesh,C-1T,"1,21,874","1,11,265",9.534894172,0.953489417,0.079457451,11620,133494,8.581404753,10458,132332,7.627915336,9296,131170,0.635659608,774,131944
Medininagar,Jharkhand,C-1T,"1,20,325","1,05,463",14.09214606,1.409214606,0.117434551,16956,137281,12.68293145,15260,135585,11.27371685,13565,133890,0.939476408,1130,135020
Gudivada,Andhra Pradesh,C-1T,"1,18,167","94,544",24.98624979,2.498624979,0.208218748,29525,147692,22.48762481,26572,144739,19.98899983,23620,141787,1.665749984,1968,143755
Phagwara,Punjab,C-1T,"1,17,966","83,463",41.33927609,4.133927609,0.344493967,48766,166732,37.20534848,43889,161855,33.07142087,39013,156979,2.755951736,3251,160230
Hosur,Tamil Nadu,C-1T,"1,16,821","1,02,000",14.53039216,1.453039216,0.121086601,16974,133795,13.07735294,15277,132098,11.62431373,13579,130400,0.968692808,1131,131531
Narasaraopet,Andhra Pradesh,C-1T,"1,16,250","1,05,642",10.04146078,1.004146078,0.08367884,11673,127923,9.037314702,10505,126755,8.033168624,9338,125588,0.66943072,778,126366
Suryapet,Telangana,C-1T,"1,15,250","94,585",21.84807316,2.184807316,0.182067276,25179,140429,19.66326584,22661,137911,17.47845853,20143,135393,1.456538208,1678,137071
Miryalaguda,Telangana,C-1T,"1,09,891","91,395",20.23743093,2.023743093,0.168645258,22239,132130,18.21368784,20015,129906,16.18994474,17791,127682,1.349162064,1482,129164
Tadipatri,Andhra Pradesh,C-1T,"1,08,171","94,256",14.76298591,1.476298591,0.123024883,15969,124140,13.28668732,14372,122543,11.81038873,12775,120946,0.984199064,1064,122010
Karaikudi,Tamil Nadu,C-1T,"1,06,714","86,596",23.23201995,2.323201995,0.193600166,24791,131505,20.90881796,22312,129026,18.58561596,19833,126547,1.548801328,1652,128199
Kishanganj,Bihar,C-1T,"1,05,782","85,590",23.59154107,2.359154107,0.196596176,24955,130737,21.23238696,22460,128242,18.87323286,19964,125746,1.572769408,1663,127409
Jamalpur,Bihar,C-1T,"1,05,221","96,983",8.494272192,0.849427219,0.070785602,8937,114158,7.644844971,8043,113264,6.795417752,7150,112371,0.566284816,595,112966
Ballia,Uttar Pradesh,C-1T,"1,04,271","94,526",10.30933288,1.030933288,0.085911107,10749,115020,9.278399592,9674,113945,8.247466304,8599,112870,0.687288856,716,113586
Kavali,Andhra Pradesh,C-1T,"1,04,000","92,564",12.35469513,1.235469513,0.102955793,12848,116848,11.11922562,11563,115563,9.883756104,10279,114279,0.823646344,856,115135
Tadepalligudem,Andhra Pradesh,C-1T,"1,03,906","89,564",16.01313028,1.601313028,0.133442752,16638,120544,14.41181725,14974,118880,12.81050422,13310,117216,1.067542016,1109,118325
Amaravati,Andhra Pradesh,C-1T,"1,03,000",85653,20.25264731,2.025264731,0.168772061,20860,123860,18.22738258,18774,121774,16.20211785,16688,119688,1.350176488,1390,121078
Buxar,Bihar,C-1T,"1,02,591","83,168",23.35393421,2.335393421,0.194616118,23959,126550,21.01854079,21563,124154,18.68314737,19167,121758,1.556928944,1597,123355
Tezpur,Assam,C-1T,"1,02,505","83,028",23.4583514,2.34583514,0.195486262,24045,126550,21.11251626,21641,124146,18.76668112,19236,121741,1.563890096,1603,123344
Jehanabad,Bihar,C-1T,"1,02,456","81,503",25.70825614,2.570825614,0.214235468,26339,128795,23.13743053,23705,126161,20.56660491,21071,123527,1.713883744,1755,125282
Aurangabad,Bihar,C-1T,"1,01,520","79,393",27.87021526,2.787021526,0.232251794,28293,129813,25.08319373,25464,126984,22.29617221,22635,124155,1.858014352,1886,126041
Gangtok,Sikkim,C-1T,"1,00,286","29,354",241.6433876,24.16433876,2.013694897,242334,342620,217.4790488,218101,318387,193.3147101,193867,294153,16.10955918,16155,310308
Tirur,Kerala,M,"1,00,058",,29.0798451,2.90798451,0.242332043,29096,129154,26.17186059,26187,126245,23.26387608,23277,123335,1.938656344,1939,125274
Port Blair,Andaman and Nicobar Islands,MCl,"99,984",,16.42975858,1.642975858,0.136914655,16427,116411,14.78678272,14784,114768,13.14380686,13141,113125,1.09531724,1095,114220
Lakhisarai,Bihar,NP,"99,979",,31.6182944,3.16182944,0.263485787,31611,131590,28.45646496,28450,128429,25.29463552,25289,125268,2.107886296,2107,127375
Panaji,Goa,UA,"99,677",,31.6182944,3.16182944,0.263485787,31516,131193,28.45646496,28364,128041,25.29463552,25212,124889,2.107886296,2101,126990
Tinsukia,Assam,MB,"99,448",,31.6182944,3.16182944,0.263485787,31443,130891,28.45646496,28299,127747,25.29463552,25155,124603,2.107886296,2096,126699
Itarsi,Madhya Pradesh,M,"99,329",,29.0798451,2.90798451,0.242332043,28884,128213,26.17186059,25996,125325,23.26387608,23107,122436,1.938656344,1925,124361
Kohima,Nagaland,MC,"99,039",,11.42467203,1.142467203,0.0952056,11314,110353,10.28220483,10183,109222,9.139737624,9051,108090,0.7616448,754,108844
Balangir,Odisha,M,"98,238",,29.0798451,2.90798451,0.242332043,28567,126805,26.17186059,25710,123948,23.26387608,22853,121091,1.938656344,1904,122995
Nawada,Bihar,NPd,"98,029",,31.6182944,3.16182944,0.263485787,30995,129024,28.45646496,27895,125924,25.29463552,24796,122825,2.107886296,2066,124891
Jharsuguda,Odisha,M,"97,730",,29.0798451,2.90798451,0.242332043,28419,126149,26.17186059,25577,123307,23.26387608,22735,120465,1.938656344,1894,122359
Gadwal,Telangana,M,"96,877",,29.0798451,2.90798451,0.242332043,28171,125048,26.17186059,25354,122231,23.26387608,22537,119414,1.938656344,1878,121292
Jagtial,Telangana,M,"96,470",,29.0798451,2.90798451,0.242332043,28053,124523,26.17186059,25247,121717,23.26387608,22442,118912,1.938656344,1870,120782
Viluppuram,Tamil Nadu,M,"96,253",,29.0798451,2.90798451,0.242332043,27990,124243,26.17186059,25191,121444,23.26387608,22392,118645,1.938656344,1866,120511
Amalner,Maharashtra,MCl,"95,994",,16.42975858,1.642975858,0.136914655,15771,111765,14.78678272,14194,110188,13.14380686,12617,108611,1.09531724,1051,109662
Zirakpur,Punjab,MCl,"95,553",,16.42975858,1.642975858,0.136914655,15699,111252,14.78678272,14129,109682,13.14380686,12559,108112,1.09531724,1046,109158
Tanda,Uttar Pradesh,MB,"95,516",,31.6182944,3.16182944,0.263485787,30200,125716,28.45646496,27180,122696,25.29463552,24160,119676,2.107886296,2013,121689
Tiruchengode,Tamil Nadu,M,"95,335",,29.0798451,2.90798451,0.242332043,27723,123058,26.17186059,24950,120285,23.26387608,22178,117513,1.938656344,1848,119361
Nagina,Uttar Pradesh,NPP,"95,246",,31.6182944,3.16182944,0.263485787,30115,125361,28.45646496,27103,122349,25.29463552,24092,119338,2.107886296,2007,121345
Yemmiganur,Andhra Pradesh,M,"95,149",,29.0798451,2.90798451,0.242332043,27669,122818,26.17186059,24902,120051,23.26387608,22135,117284,1.938656344,1844,119128
Vaniyambadi,Tamil Nadu,M,"95,061",,29.0798451,2.90798451,0.242332043,27643,122704,26.17186059,24879,119940,23.26387608,22114,117175,1.938656344,1842,119017
Sarni,Madhya Pradesh,M,"95,012",,29.0798451,2.90798451,0.242332043,27629,122641,26.17186059,24866,119878,23.26387608,22103,117115,1.938656344,1841,118956
Theni Allinagaram,Tamil Nadu,M,"94,453",,29.0798451,2.90798451,0.242332043,27466,121919,26.17186059,24720,119173,23.26387608,21973,116426,1.938656344,1831,118257
Margao,Goa,UA,"94,383",,31.6182944,3.16182944,0.263485787,29842,124225,28.45646496,26858,121241,25.29463552,23873,118256,2.107886296,1989,120245
Akot,Maharashtra,MCl,"92,637",,16.42975858,1.642975858,0.136914655,15220,107857,14.78678272,13698,106335,13.14380686,12176,104813,1.09531724,1014,105827
Sehore,Madhya Pradesh,UA,"92,518",,31.6182944,3.16182944,0.263485787,29252,121770,28.45646496,26327,118845,25.29463552,23402,115920,2.107886296,1950,117870
Mhow Cantonment,Madhya Pradesh,UA,"92,364",,31.6182944,3.16182944,0.263485787,29203,121567,28.45646496,26283,118647,25.29463552,23363,115727,2.107886296,1946,117673
Kot Kapura,Punjab,MCl,"91,979",,16.42975858,1.642975858,0.136914655,15111,107090,14.78678272,13600,105579,13.14380686,12089,104068,1.09531724,1007,105075
Makrana,Rajasthan,UA,"91,853",,31.6182944,3.16182944,0.263485787,29042,120895,28.45646496,26138,117991,25.29463552,23233,115086,2.107886296,1936,117022
Pandharpur,Maharashtra,MCl,"91,379",,16.42975858,1.642975858,0.136914655,15013,106392,14.78678272,13512,104891,13.14380686,12010,103389,1.09531724,1000,104389
Miryalaguda,Telangana,UA,"91,452",,31.6182944,3.16182944,0.263485787,28915,120367,28.45646496,26024,117476,25.29463552,23132,114584,2.107886296,1927,116511
Shamli,Uttar Pradesh,MB,"91,044",,31.6182944,3.16182944,0.263485787,28786,119830,28.45646496,25907,116951,25.29463552,23029,114073,2.107886296,1919,115992
Seoni,Madhya Pradesh,M,"91,028",,29.0798451,2.90798451,0.242332043,26470,117498,26.17186059,23823,114851,23.26387608,21176,112204,1.938656344,1764,113968
Ranibennur,Karnataka,CMC,"90,845",,31.6182944,3.16182944,0.263485787,28723,119568,28.45646496,25851,116696,25.29463552,22978,113823,2.107886296,1914,115737
Kadiri,Andhra Pradesh,M,"90,766",,29.0798451,2.90798451,0.242332043,26394,117160,26.17186059,23755,114521,23.26387608,21115,111881,1.938656344,1759,113640
Shrirampur,Maharashtra,UA,90726,,31.6182944,3.16182944,0.263485787,28686,119412,28.45646496,25817,116543,25.29463552,22948,113674,2.107886296,1912,115586
Parli,Maharashtra,MCl,90451,,16.42975858,1.642975858,0.136914655,14860,105311,14.78678272,13374,103825,13.14380686,11888,102339,1.09531724,990,103329
Najibabad,Uttar Pradesh,MB,"90,024",,31.6182944,3.16182944,0.263485787,28464,118488,28.45646496,25617,115641,25.29463552,22771,112795,2.107886296,1897,114692
Nirmal,Telangana,M,"89,240",,29.0798451,2.90798451,0.242332043,25950,115190,26.17186059,23355,112595,23.26387608,20760,110000,1.938656344,1730,111730
Udhagamandalam,Tamil Nadu,M,"88,430",,29.0798451,2.90798451,0.242332043,25715,114145,26.17186059,23143,111573,23.26387608,20572,109002,1.938656344,1714,110716
Shikohabad,Uttar Pradesh,MB,"88,161",,31.6182944,3.16182944,0.263485787,27875,116036,28.45646496,25087,113248,25.29463552,22300,110461,2.107886296,1858,112319
Jhumri Tilaiya,Jharkhand,NP,"87,867",,31.6182944,3.16182944,0.263485787,27782,115649,28.45646496,25003,112870,25.29463552,22225,110092,2.107886296,1852,111944
Aruppukkottai,Tamil Nadu,M,"87,722",,29.0798451,2.90798451,0.242332043,25509,113231,26.17186059,22958,110680,23.26387608,20407,108129,1.938656344,1700,109829
Ponnani,Kerala,M,"87,495",,29.0798451,2.90798451,0.242332043,25443,112938,26.17186059,22899,110394,23.26387608,20354,107849,1.938656344,1696,109545
Jamui,Bihar,NP,"87,357",,31.6182944,3.16182944,0.263485787,27620,114977,28.45646496,24858,112215,25.29463552,22096,109453,2.107886296,1841,111294
Sitamarhi,Bihar,UA,"87,279",,31.6182944,3.16182944,0.263485787,27596,114875,28.45646496,24836,112115,25.29463552,22076,109355,2.107886296,1839,111194
Chirala,Andhra Pradesh,M,"87,200",,29.0798451,2.90798451,0.242332043,25357,112557,26.17186059,22821,110021,23.26387608,20286,107486,1.938656344,1690,109176
Anjar,Gujarat,M,"87,183",,29.0798451,2.90798451,0.242332043,25352,112535,26.17186059,22817,110000,23.26387608,20282,107465,1.938656344,1690,109155
Karaikal,Puducherry,M,"86,838",,29.0798451,2.90798451,0.242332043,25252,112090,26.17186059,22727,109565,23.26387608,20201,107039,1.938656344,1683,108722
Hansi,Haryana,MCl,"86,770",,16.42975858,1.642975858,0.136914655,14256,101026,14.78678272,12830,99600,13.14380686,11404,98174,1.09531724,950,99124
Anakapalle,Andhra Pradesh,M,"86,519",,31.6182944,3.16182944,0.263485787,27355,113874,28.45646496,24620,111139,25.29463552,21884,108403,2.107886296,1823,110226
Mahasamund,Chhattisgarh,M,"85,650",,31.6182944,3.16182944,0.263485787,27081,112731,28.45646496,24372,110022,25.29463552,21664,107314,2.107886296,1805,109119
Faridkot,Punjab,MCl,"85,435",,16.42975858,1.642975858,0.136914655,14036,99471,14.78678272,12633,98068,13.14380686,11229,96664,1.09531724,935,97599
Saunda,Jharkhand,CT,"85,075",,31.6182944,3.16182944,0.263485787,26899,111974,28.45646496,24209,109284,25.29463552,21519,106594,2.107886296,1793,108387
Dhoraji,Gujarat,M,"84,545",,29.0798451,2.90798451,0.242332043,24585,109130,26.17186059,22126,106671,23.26387608,19668,104213,1.938656344,1639,105852
Paramakudi,Tamil Nadu,M,"84,321",,29.0798451,2.90798451,0.242332043,24520,108841,26.17186059,22068,106389,23.26387608,19616,103937,1.938656344,1634,105571
Balaghat,Madhya Pradesh,M,"84,261",,29.0798451,2.90798451,0.242332043,24502,108763,26.17186059,22052,106313,23.26387608,19602,103863,1.938656344,1633,105496
Sujangarh,Rajasthan,M,"83,846",,29.0798451,2.90798451,0.242332043,24382,108228,26.17186059,21944,105790,23.26387608,19505,103351,1.938656344,1625,104976
Khambhat,Gujarat,M,"83,715",,29.0798451,2.90798451,0.242332043,24344,108059,26.17186059,21909,105624,23.26387608,19475,103190,1.938656344,1622,104812
Muktsar,Punjab,MCl,"83,655",,16.42975858,1.642975858,0.136914655,13744,97399,14.78678272,12369,96024,13.14380686,10995,94650,1.09531724,916,95566
Rajpura,Punjab,MCl,"82,956",,16.42975858,1.642975858,0.136914655,13629,96585,14.78678272,12266,95222,13.14380686,10903,93859,1.09531724,908,94767
Kavali,Andhra Pradesh,M,"82,336",,29.0798451,2.90798451,0.242332043,23943,106279,26.17186059,21548,103884,23.26387608,19154,101490,1.938656344,1596,103086
Dhamtari,Chhattisgarh,M,"82,111",,29.0798451,2.90798451,0.242332043,23877,105988,26.17186059,21489,103600,23.26387608,19102,101213,1.938656344,1591,102804
Ashok Nagar,Madhya Pradesh,M,"81,828",,29.0798451,2.90798451,0.242332043,23795,105623,26.17186059,21415,103243,23.26387608,19036,100864,1.938656344,1586,102450
Sardarshahar,Rajasthan,M,"81,394",,29.0798451,2.90798451,0.242332043,23669,105063,26.17186059,21302,102696,23.26387608,18935,100329,1.938656344,1577,101906
Bargarh,Odisha,M,"80,625",,29.0798451,2.90798451,0.242332043,23445,104070,26.17186059,21101,101726,23.26387608,18756,99381,1.938656344,1563,100944
Kamareddy,Telangana,M,"80,315",,29.0798451,2.90798451,0.242332043,23355,103670,26.17186059,21019,101334,23.26387608,18684,98999,1.938656344,1557,100556
Sahibganj,Jharkhand,M,"80,154",,29.0798451,2.90798451,0.242332043,23308,103462,26.17186059,20977,101131,23.26387608,18646,98800,1.938656344,1553,100353
Cooch Behar,West Bengal,M,"79,885",,29.0798451,2.90798451,0.242332043,23230,103115,26.17186059,20907,100792,23.26387608,18584,98469,1.938656344,1548,100017
Kothagudem,Telangana,M,"79,819",,29.0798451,2.90798451,0.242332043,23211,103030,26.17186059,20890,100709,23.26387608,18568,98387,1.938656344,1547,99934
Ramanagaram,Karnataka,CMC,"79,394",,31.6182944,3.16182944,0.263485787,25103,104497,28.45646496,22592,101986,25.29463552,20082,99476,2.107886296,1673,101149
Gokak,Karnataka,CMC,"79,121",,31.6182944,3.16182944,0.263485787,25016,104137,28.45646496,22515,101636,25.29463552,20013,99134,2.107886296,1667,100801
Tikamgarh,Madhya Pradesh,M,"79,106",,31.6182944,3.16182944,0.263485787,25011,104117,28.45646496,22510,101616,25.29463552,20009,99115,2.107886296,1667,100782
Araria,Bihar,NP,"79,021",,31.6182944,3.16182944,0.263485787,24985,104006,28.45646496,22486,101507,25.29463552,19988,99009,2.107886296,1665,100674
Rishikesh,Uttarakhand,UA,"78,805",,31.6182944,3.16182944,0.263485787,24916,103721,28.45646496,22425,101230,25.29463552,19933,98738,2.107886296,1661,100399
Shahdol,Madhya Pradesh,M,"78,624",,29.0798451,2.90798451,0.242332043,22863,101487,26.17186059,20577,99201,23.26387608,18290,96914,1.938656344,1524,98438
Medininagar (Daltonganj),Jharkhand,Nagar Parishad,"78,396",,31.6182944,3.16182944,0.263485787,24787,103183,28.45646496,22308,100704,25.29463552,19829,98225,2.107886296,1652,99877
Arakkonam,Tamil Nadu,M,"78,395",,29.0798451,2.90798451,0.242332043,22797,101192,26.17186059,20517,98912,23.26387608,18237,96632,1.938656344,1519,98151
Washim,Maharashtra,MCl,"78,387",,16.42975858,1.642975858,0.136914655,12878,91265,14.78678272,11590,89977,13.14380686,10303,88690,1.09531724,858,89548
Sangrur,Punjab,MCl,"77,989",,16.42975858,1.642975858,0.136914655,12813,90802,14.78678272,11532,89521,13.14380686,10250,88239,1.09531724,854,89093
Bodhan,Telangana,M,"77,553",,29.0798451,2.90798451,0.242332043,22552,100105,26.17186059,20297,97850,23.26387608,18041,95594,1.938656344,1503,97097
Fazilka,Punjab,MCl,"76,492",,16.42975858,1.642975858,0.136914655,12567,89059,14.78678272,11310,87802,13.14380686,10053,86545,1.09531724,837,87382
Keshod,Gujarat,M,"76,193",,29.0798451,2.90798451,0.242332043,22156,98349,26.17186059,19941,96134,23.26387608,17725,93918,1.938656344,1477,95395
Chintamani,Karnataka,CMC,"76,068",,31.6182944,3.16182944,0.263485787,24051,100119,28.45646496,21646,97714,25.29463552,19241,95309,2.107886296,1603,96912
Sullurpeta,Andhra Pradesh,M,"75,925",,29.0798451,2.90798451,0.242332043,22078,98003,26.17186059,19870,95795,23.26387608,17663,93588,1.938656344,1471,95059
Wadhwan,Gujarat,M,"75,755",,29.0798451,2.90798451,0.242332043,22029,97784,26.17186059,19826,95581,23.26387608,17623,93378,1.938656344,1468,94846
Gurdaspur,Punjab,MCl,"75,549",,16.42975858,1.642975858,0.136914655,12412,87961,14.78678272,11171,86720,13.14380686,9930,85479,1.09531724,827,86306
Vatakara,Kerala,M,"75,295",,29.0798451,2.90798451,0.242332043,21895,97190,26.17186059,19706,95001,23.26387608,17516,92811,1.938656344,1459,94270
Tura,Meghalaya,M,"74,858",,29.0798451,2.90798451,0.242332043,21768,96626,26.17186059,19591,94449,23.26387608,17414,92272,1.938656344,1451,93723
Narnaul,Haryana,MCl,"74,581",,16.42975858,1.642975858,0.136914655,12253,86834,14.78678272,11028,85609,13.14380686,9802,84383,1.09531724,816,85199
Kharar,Punjab,MCl,"74,460",,16.42975858,1.642975858,0.136914655,12233,86693,14.78678272,11010,85470,13.14380686,9786,84246,1.09531724,815,85061
Yadgir,Karnataka,CMC,"74,294",,31.6182944,3.16182944,0.263485787,23490,97784,28.45646496,21141,95435,25.29463552,18792,93086,2.107886296,1566,94652
Ambejogai,Maharashtra,MCl,"73,975",,16.42975858,1.642975858,0.136914655,12153,86128,14.78678272,10938,84913,13.14380686,9723,83698,1.09531724,810,84508
Ankleshwar,Gujarat,M,"73,928",,29.0798451,2.90798451,0.242332043,21498,95426,26.17186059,19348,93276,23.26387608,17198,91126,1.938656344,1433,92559
Savarkundla,Gujarat,M,"73,774",,29.0798451,2.90798451,0.242332043,21453,95227,26.17186059,19308,93082,23.26387608,17162,90936,1.938656344,1430,92366
Paradip,Odisha,NAC,"73,625",,31.6182944,3.16182944,0.263485787,23278,96903,28.45646496,20951,94576,25.29463552,18623,92248,2.107886296,1551,93799
Virudhachalam,Tamil Nadu,M,"73,585",,29.0798451,2.90798451,0.242332043,21398,94983,26.17186059,19258,92843,23.26387608,17118,90703,1.938656344,1426,92129
Kanhangad,Kerala,M,"73,456",,29.0798451,2.90798451,0.242332043,21360,94816,26.17186059,19224,92680,23.26387608,17088,90544,1.938656344,1424,91968
Kadi,Gujarat,M,"73,426",,29.0798451,2.90798451,0.242332043,21352,94778,26.17186059,19216,92642,23.26387608,17081,90507,1.938656344,1423,91930
Srivilliputhur,Tamil Nadu,M,"73,364",,31.6182944,3.16182944,0.263485787,23196,96560,28.45646496,20876,94240,25.29463552,18557,91921,2.107886296,1546,93467
Gobindgarh,Punjab,MCl,73342,,16.42975858,1.642975858,0.136914655,12049,85391,14.78678272,10844,84186,13.14380686,9639,82981,1.09531724,803,83784
Tindivanam,Tamil Nadu,M,"73,048",,29.0798451,2.90798451,0.242332043,21242,94290,26.17186059,19118,92166,23.26387608,16993,90041,1.938656344,1416,91457
Karunagappally,Kerala,M,"72,891",,29.0798451,2.90798451,0.242332043,21196,94087,26.17186059,19076,91967,23.26387608,16957,89848,1.938656344,1413,91261
Mansa,Punjab,MCl,72648,,16.42975858,1.642975858,0.136914655,11935,84583,14.78678272,10742,83390,13.14380686,9548,82196,1.09531724,795,82991
Taliparamba,Kerala,M,"72,465",,29.0798451,2.90798451,0.242332043,21072,93537,26.17186059,18965,91430,23.26387608,16858,89323,1.938656344,1404,90727
Manmad,Maharashtra,MCl,"72,401",,16.42975858,1.642975858,0.136914655,11895,84296,14.78678272,10705,83106,13.14380686,9516,81917,1.09531724,793,82710
Tanuku,Andhra Pradesh,M,"72,348",,29.0798451,2.90798451,0.242332043,21038,93386,26.17186059,18934,91282,23.26387608,16830,89178,1.938656344,1402,90580
Rayachoti,Andhra Pradesh,CT,"72,297",,31.6182944,3.16182944,0.263485787,22859,95156,28.45646496,20573,92870,25.29463552,18287,90584,2.107886296,1523,92107
Virudhunagar,Tamil Nadu,M,"72,296",,29.0798451,2.90798451,0.242332043,21023,93319,26.17186059,18921,91217,23.26387608,16818,89114,1.938656344,1401,90515
Koyilandy,Kerala,M,"71,873",,29.0798451,2.90798451,0.242332043,20900,92773,26.17186059,18810,90683,23.26387608,16720,88593,1.938656344,1393,89986
Jorhat,Assam,MB,"71,782",,31.6182944,3.16182944,0.263485787,22696,94478,28.45646496,20426,92208,25.29463552,18156,89938,2.107886296,1513,91451
Karur,Tamil Nadu,M,"70,980",,29.0798451,2.90798451,0.242332043,20640,91620,26.17186059,18576,89556,23.26387608,16512,87492,1.938656344,1376,88868
Valparai,Tamil Nadu,M,"70,859",,29.0798451,2.90798451,0.242332043,20605,91464,26.17186059,18545,89404,23.26387608,16484,87343,1.938656344,1373,88716
Srikalahasti,Andhra Pradesh,M,"70,854",,29.0798451,2.90798451,0.242332043,20604,91458,26.17186059,18543,89397,23.26387608,16483,87337,1.938656344,1373,88710
Neyyattinkara,Kerala,M,"70,850",,29.0798451,2.90798451,0.242332043,20603,91453,26.17186059,18542,89392,23.26387608,16482,87332,1.938656344,1373,88705
Bapatla,Andhra Pradesh,M,"70,777",,29.0798451,2.90798451,0.242332043,20581,91358,26.17186059,18523,89300,23.26387608,16465,87242,1.938656344,1372,88614
Fatehabad,Haryana,M Cl,"70,777",,16.42975858,1.642975858,0.136914655,11628,82405,14.78678272,10465,81242,13.14380686,9302,80079,1.09531724,775,80854
Malout,Punjab,MCl,"70,765",,16.42975858,1.642975858,0.136914655,11626,82391,14.78678272,10463,81228,13.14380686,9301,80066,1.09531724,775,80841
Sankarankovil,Tamil Nadu,M,"70,574",,29.0798451,2.90798451,0.242332043,20522,91096,26.17186059,18470,89044,23.26387608,16418,86992,1.938656344,1368,88360
Tenkasi,Tamil Nadu,M,"70,545",,29.0798451,2.90798451,0.242332043,20514,91059,26.17186059,18462,89007,23.26387608,16411,86956,1.938656344,1367,88323
Ratnagiri,Maharashtra,MCl,"70,383",,16.42975858,1.642975858,0.136914655,11563,81946,14.78678272,10407,80790,13.14380686,9251,79634,1.09531724,770,80404
Rabkavi Banhatti,Karnataka,CMC,"70,248",,31.6182944,3.16182944,0.263485787,22211,92459,28.45646496,19990,90238,25.29463552,17768,88016,2.107886296,1480,89496
Sikandrabad,Uttar Pradesh,MB,"69,867",,31.6182944,3.16182944,0.263485787,22090,91957,28.45646496,19881,89748,25.29463552,17672,87539,2.107886296,1472,89011
Chaibasa,Jharkhand,NPP,"69,565",,31.6182944,3.16182944,0.263485787,21995,91560,28.45646496,19795,89360,25.29463552,17596,87161,2.107886296,1466,88627
Chirmiri,Chhattisgarh,MCorp,"69,307",,31.6182944,3.16182944,0.263485787,21913,91220,28.45646496,19722,89029,25.29463552,17530,86837,2.107886296,1460,88297
Palwancha,Telangana,M,"69,088",,29.0798451,2.90798451,0.242332043,20090,89178,26.17186059,18081,87169,23.26387608,16072,85160,1.938656344,1339,86499
Bhawanipatna,Odisha,M,"69,045",,29.0798451,2.90798451,0.242332043,20078,89123,26.17186059,18070,87115,23.26387608,16062,85107,1.938656344,1338,86445
Kayamkulam,Kerala,M,"68,634",,29.0798451,2.90798451,0.242332043,19958,88592,26.17186059,17962,86596,23.26387608,15966,84600,1.938656344,1330,85930
Pithampur,Madhya Pradesh,NP,"68,080",,31.6182944,3.16182944,0.263485787,21525,89605,28.45646496,19373,87453,25.29463552,17220,85300,2.107886296,1435,86735
Nabha,Punjab,MCl,"67,972",,16.42975858,1.642975858,0.136914655,11167,79139,14.78678272,10050,78022,13.14380686,8934,76906,1.09531724,744,77650
"Shahabad, Hardoi",Uttar Pradesh,MB,"67,751",,31.6182944,3.16182944,0.263485787,21421,89172,28.45646496,19279,87030,25.29463552,17137,84888,2.107886296,1428,86316
Dhenkanal,Odisha,M,"67,414",,29.0798451,2.90798451,0.242332043,19603,87017,26.17186059,17643,85057,23.26387608,15683,83097,1.938656344,1306,84403
Uran Islampur,Maharashtra,MCl,"67,391",,31.6182944,3.16182944,0.263485787,21307,88698,28.45646496,19177,86568,25.29463552,17046,84437,2.107886296,1420,85857
Gopalganj,Bihar,NP,"67,339",,31.6182944,3.16182944,0.263485787,21291,88630,28.45646496,19162,86501,25.29463552,17033,84372,2.107886296,1419,85791
Bongaigaon City,Assam,MB,"67,322",,31.6182944,3.16182944,0.263485787,21286,88608,28.45646496,19157,86479,25.29463552,17028,84350,2.107886296,1419,85769
Palani,Tamil Nadu,M,"67,231",,29.0798451,2.90798451,0.242332043,19550,86781,26.17186059,17595,84826,23.26387608,15640,82871,1.938656344,1303,84174
Pusad,Maharashtra,MCl,"67,116",,16.42975858,1.642975858,0.136914655,11026,78142,14.78678272,9924,77040,13.14380686,8821,75937,1.09531724,735,76672
