City,State,Type,Population [2011],Popuation [2001],Sex Ratio,Median Age,Avg Temp,SWM,Toilets Avl,Water Purity,H Index,Female Population,# of hospitals,Foreign Visitors,Covid Cases,Rate For 10 Years(%)
Virudhachalam,Tamil Nadu,M,"73,585",,923,28,26,LOW,75,,,,13,4684707,2582,29.0798451
Kanhangad,Kerala,M,"73,456",,981,28,31,MEDIUM,100,,,,28,977479,2744,29.0798451
Kadi,Gujarat,M,"73,426",,841,24,33,HIGH,55,,,,19,284973,2016,29.0798451
Srivilliputhur,Tamil Nadu,M,"73,364",,923,24,25,MEDIUM,88,,,,20,4684707,2213,31.6182944
Gobindgarh,Punjab,M.Cl.,73342,,871,29,26,MEDIUM,68,,,,21,242367,2523,16.42975858
Tindivanam,Tamil Nadu,M,"73,048",,904,25,27,LOW,85,,,,14,4684707,2258,29.0798451
Karunagappally,Kerala,M,"72,891",,965,30,30,HIGH,66,,,,17,977479,2892,29.0798451
Mansa,Punjab,M.Cl,72648,,900,26,27,MEDIUM,76,,,,25,242367,900,16.42975858
Taliparamba,Kerala,M,"72,465",,966,30,25,LOW,88,,,,26,977479,2895,29.0798451
Manmad,Maharashtra,M.Cl,"72,401",,890,28,40,LOW,84,,,,11,4408916,2490,16.42975858
Tanuku,Andhra Pradesh,M,"72,348",,905,26,31,MEDIUM,98,,,,18,237854,2351,29.0798451
Rayachoti,Andhra Pradesh,C.T,"72,297",,914,24,33,HIGH,76,,,,24,237854,2192,31.6182944
Virudhunagar,Tamil Nadu,M,"72,296",,902,27,35,LOW,74,,,,22,4684707,13576,29.0798451
Koyilandy,Kerala,M,"71,873",,967,31,36,LOW,100,,,,18,977479,2995,29.0798451
Jorhat,Assam,MB,"71,782",,916,27,5,HIGH,100,,,,23,24720,2471,31.6182944
Karur,Tamil Nadu,M,"70,980",,920,24,37,LOW,82,,,,26,4684707,2053,29.0798451
Valparai,Tamil Nadu,M,"70,859",,911,24,40,LOW,74,,,,16,4684707,2184,29.0798451
Srikalahasti,Andhra Pradesh,M,"70,854",,905,27,35,HIGH,77,,,,15,237854,2441,29.0798451
Neyyattinkara,Kerala,M,"70,850",,972,30,35,HIGH,53,,,,20,977479,2913,29.0798451
Bapatla,Andhra Pradesh,M,"70,777",,889,29,38,MEDIUM,100,,,,19,237854,2576,29.0798451
Fatehabad,Haryana,M Cl,"70,777",,828,23,36,LOW,93,,,,24,303118,1902,16.42975858
Malout,Punjab,M.Cl,"70,765",,884,23,31,LOW,64,,,,24,242367,2031,16.42975858
Sankarankovil,Tamil Nadu,M,"70,574",,916,28,25,HIGH,90,,,,28,4684707,2562,29.0798451
Tenkasi,Tamil Nadu,M,"70,545",,921,26,33,LOW,63,,,,30,4684707,6092,29.0798451
Ratnagiri,Maharashtra,M.Cl,"70,383",,873,27,26,LOW,62,,,,28,4408916,2355,16.42975858
Rabkavi Banhatti,Karnataka,CMC,"70,248",,930,24,30,LOW,71,,,,12,636502,2230,31.6182944
Sikandrabad,Uttar Pradesh,M.B,"69,867",,875,25,34,LOW,74,,,,25,3104060,2185,31.6182944
Chaibasa,Jharkhand,N.P.P,"69,565",,910,28,38,HIGH,89,,,,10,167785,2546,31.6182944
Chirmiri,Chhattisgarh,M.Corp.,"69,307",,957,26,40,LOW,93,,,,14,6394,2486,31.6182944
Palwancha,Telangana,M,"69,088",,927,25,35,HIGH,74,,,,15,126078,2315,29.0798451
Bhawanipatna,Odisha,M,"69,045",,940,28,30,HIGH,62,,,,13,66971,2630,29.0798451
Kayamkulam,Kerala,M,"68,634",,973,30,26,MEDIUM,74,,,,27,977479,2916,29.0798451
Pithampur,Madhya Pradesh,N.P,"68,080",,923,29,30,HIGH,81,,,,29,421365,2674,31.6182944
Nabha,Punjab,M.Cl,"67,972",,887,29,25,HIGH,81,,,,10,242367,2570,16.42975858
"Shahabad, Hardoi",Uttar Pradesh,M.B,"67,751",,883,23,34,LOW,66,,,,13,3104060,2029,31.6182944
Dhenkanal,Odisha,M,"67,414",,955,25,27,MEDIUM,61,,,,22,66971,2398,29.0798451
Uran Islampur,Maharashtra,M.Cl,"67,391",,892,28,26,MEDIUM,71,,,,16,4408916,2495,31.6182944
Gopalganj,Bihar,N.P,"67,339",,922,23,38,LOW,63,,,,11,923737,2119,31.6182944
Bongaigaon City,Assam,MB,"67,322",,891,27,10,LOW,58,,,,14,24720,2403,31.6182944
Palani,Tamil Nadu,M,"67,231",,906,27,25,LOW,70,,,,23,4684707,2444,29.0798451
Pusad,Maharashtra,M.Cl,"67,116",,883,27,29,HIGH,51,,,,30,4408916,2382,16.42975858
Sopore,Jammu and Kashmir,UA,"66,963",,906,28,15,HIGH,93,,,,27,58568,2534,31.6182944
Pilkhuwa,Uttar Pradesh,M.B,"66,907",,863,23,28,MEDIUM,54,,,,17,3104060,1983,31.6182944
Tarn Taran,Punjab,M.Cl,"66,847",,887,25,25,MEDIUM,72,,,,23,242367,1103,16.42975858
Renukoot,Uttar Pradesh,UA,"66,597",,880,26,34,LOW,88,,,,28,3104060,2286,31.6182944
Mandamarri,Telangana,M,"66,596",,926,25,33,MEDIUM,86,,,,24,126078,2313,29.0798451
Shahabad,Karnataka,UA,"66,550",,932,28,25,MEDIUM,89,,,,10,636502,2607,31.6182944
Barbil,Odisha,M,"66,540",,959,27,39,HIGH,99,,,,17,66971,2587,29.0798451
Koratla,Telangana,M,"66,504",,932,27,29,MEDIUM,67,,,,14,126078,2514,29.0798451
Madhubani,Bihar,M,"66,340",,924,28,37,MEDIUM,91,,,,22,923737,2585,29.0798451
Arambagh,West Bengal,M,"66,175",,948,29,37,MEDIUM,79,,,,12,1489500,2747,29.0798451
Puliyankudi,Tamil Nadu,M,"66,000",,910,25,36,LOW,65,,,,23,4684707,2273,29.0798451
Gohana,Haryana,M.C,"65,708",,843,27,34,MEDIUM,59,,,,21,303118,2274,11.42467203
Ladnu,Rajasthan,M,"65,575",,862,24,30,HIGH,82,,,,19,1475311,2067,29.0798451
Pattukkottai,Tamil Nadu,M,"65,533",,916,24,27,MEDIUM,61,,,,26,4684707,2196,29.0798451
Sirsi,Karnataka,UA,"65,335",,952,27,30,MEDIUM,56,,,,27,636502,2568,31.6182944
Sircilla,Telangana,M,"65,314",,935,24,30,MEDIUM,75,,,,13,126078,2242,29.0798451
Tamluk,West Bengal,M,"65,306",,946,25,26,LOW,97,,,,26,1489500,2363,29.0798451
Jagraon,Punjab,M.Cl,"65,240",,899,27,29,HIGH,79,,,,11,242367,2425,16.42975858
Alirajpur,Madhya Pradesh,M,"65,232",,930,25,25,MEDIUM,98,,,,21,421365,2323,29.0798451
Alipurduar,West Bengal,M,"65,232",,957,27,29,LOW,62,,,,13,1489500,3076,29.0798451
Tandur,Telangana,M,"65,115",,924,29,28,MEDIUM,54,,,,26,126078,2677,29.0798451
Naidupet,Andhra Pradesh,M,"65,000",,902,23,36,LOW,85,,,,23,237854,2073,29.0798451
Tiruppur,Tamil Nadu,U.A,"64,725",,911,23,31,LOW,65,143,0.435588922,58964,14,4684707,4066,31.6182944
Tirupathur,Tamil Nadu,M,"64,125",,922,25,33,HIGH,82,105,0.507363139,59123,10,4684707,3506,29.0798451
Tohana,Haryana,M.C,"63,871",,842,28,34,MEDIUM,68,152,0.19366687,53779,23,303118,2355,11.42467203
Chikkaballapur,Karnataka,C.M.C,"63,652",,934,24,38,LOW,61,159,0.048153771,59451,11,636502,2240,31.6182944
Ratangarh,Rajasthan,M,"63,486",,855,29,32,HIGH,58,154,0.210722518,54281,27,1475311,2477,29.0798451
Dhubri,Assam,M.B,"63,388",,888,24,9,MEDIUM,89,130,0.096513624,56289,15,24720,2129,31.6182944
Masaurhi,Bihar,N.Pd,"63,248",,928,24,25,LOW,72,175,0.698658017,58694,29,923737,2225,31.6182944
Visnagar,Gujarat,M,"63,073",,843,26,26,MEDIUM,67,148,0.329043735,53171,15,284973,2190,29.0798451
Vrindavan,Uttar Pradesh,M.B,"63,005",,865,24,35,HIGH,80,109,0.938964612,54499,26,3104060,2074,31.6182944
Nokha,Rajasthan,M,"62,699",,872,29,31,LOW,52,156,0.275044602,54674,29,1475311,2526,29.0798451
Nagari,Andhra Pradesh,M,"62,253",,913,23,32,HIGH,65,118,0.913942839,56837,24,237854,2098,29.0798451
Chidambaram,Tamil nadu,T,"62,153",,907,29,34,LOW,74,143,0.43898665,56373,13,4684707,2628,31.6182944
Narwana,Haryana,M.Cl,"62,090",,829,29,35,LOW,79,148,0.237881435,51473,19,303118,2402,16.42975858
Ramanathapuram,Tamil Nadu,M,"62,050",,920,26,30,MEDIUM,62,148,0.165496323,57086,10,4684707,5132,29.0798451
Ujhani,Uttar Pradesh,N.P.P.,"62,039",,865,25,39,HIGH,70,110,0.717955585,53664,16,3104060,2160,31.6182944
Samastipur,Bihar,UA,"61,998",,914,26,35,HIGH,65,199,0.697652843,56666,12,923737,2374,31.6182944
Laharpur,Uttar Pradesh,N.P.P,"61,990",,886,27,30,MEDIUM,65,164,0.869022293,54923,13,3104060,2390,31.6182944
Sangamner,Maharashtra,M.Cl,"61,958",,884,29,26,LOW,52,186,0.794047902,54771,26,4408916,2561,16.42975858
Nimbahera,Rajasthan,M,"61,949",,871,28,26,LOW,95,199,0.778654102,53958,29,1475311,2436,29.0798451
Siddipet,Telangana,M,"61,809",,926,27,36,LOW,57,162,0.234731359,57235,11,126078,3151,29.0798451
Suri,West Bengal,M,"61,806",,949,29,40,LOW,85,149,0.191965205,58654,22,1489500,2750,29.0798451
Diphu,Assam,T.C,"61,797",,889,29,7,HIGH,95,124,0.086142892,54938,26,24720,2576,31.6182944
Jhargram,West Bengal,M,"61,712",,946,27,27,HIGH,75,179,0.658050716,58380,20,1489500,334,29.0798451
Shirpur-Warwade,Maharashtra,M.Cl,"61,694",,872,28,28,MEDIUM,87,155,0.94603355,53797,14,4408916,2439,16.42975858
Thrippunithura,Kerala,M,"61,632",,968,30,37,HIGH,98,188,0.746829105,59660,10,977479,2901,29.0798451
Thrissur,Kerala,M,"61,632",,967,32,30,HIGH,53,167,0.900663224,59598,13,977479,3092,29.0798451
Tilhar,Uttar Pradesh,N.P.P.,"61,444",,872,27,28,MEDIUM,65,197,0.216427325,53579,11,3104060,2352,31.6182944
Sindhnur,Karnataka,T.M.C,"61,262",,934,29,26,HIGH,74,106,0.391089908,57219,13,636502,2706,31.6182944
Udumalaipettai,Tamil Nadu,M,"61,133",,914,25,32,LOW,83,138,0.134305617,55876,29,4684707,2283,29.0798451
Malkapur,Maharashtra,M.Cl,"61,012",,890,28,37,LOW,53,145,0.251915873,54301,22,4408916,2490,16.42975858
Wanaparthy,Telangana,M,"61,006",,938,25,30,HIGH,84,187,0.384865364,57170,28,126078,1634,29.0798451
Gudur,Andhra Pradesh,M,"60,854",,896,26,33,LOW,55,169,0.711058208,54320,25,237854,2327,29.0798451
Kendujhar,Odisha,M,"60,791",,942,24,33,LOW,63,124,0.106190388,57076,10,66971,2259,29.0798451
Mandla,Madhya Pradesh,UA,60653,,911,28,35,LOW,76,178,0.841243786,55154,26,421365,2548,31.6182944
Piler,Andhra Pradesh,C.T,"60,644",,919,25,34,HIGH,70,154,0.516791006,55373,23,237854,2295,31.6182944
Nedumangad,Kerala,M,"60,438",,959,30,38,HIGH,65,115,0.984891145,57694,25,977479,2874,29.0798451
Gunupur,Odisha,M,"60,254",,943,25,35,MEDIUM,95,139,0.465529344,56580,23,66971,2355,29.0798451
North Lakhimpur,Assam,M.B,"59,942",,913,25,11,LOW,63,177,0.031631892,54610,29,24720,2280,31.6182944
Vinukonda,Andhra Pradesh,M,"59,725",,874,28,26,HIGH,54,107,0.764981633,52200,19,237854,2445,29.0798451
Mandideep,Madhya Pradesh,M,"59,654",,923,24,29,MEDIUM,85,197,0.801880843,55061,21,421365,2213,29.0798451
Tiptur,Karnataka,C.M.C,"59,543",,921,26,27,MEDIUM,86,176,0.31019972,54839,19,636502,2392,31.6182944
Gobichettipalayam,Tamil Nadu,M,"59,523",,903,24,34,LOW,66,109,0.726007206,53749,26,4684707,2165,29.0798451
Dhone,Andhra Pradesh,M,"59,272",,898,28,38,LOW,57,133,0.795494465,53226,29,237854,2512,29.0798451
Sunabeda,Odisha,N.A.C,"58,884",,955,25,37,HIGH,91,188,0.737534955,56234,30,66971,2385,31.6182944
Wani,Maharashtra,M.Cl.,"58,840",,874,24,38,MEDIUM,77,172,0.264726834,51426,22,4408916,2096,16.42975858
Upleta,Gujarat,M,"58,775",,845,29,40,HIGH,72,123,0.874730694,49665,30,284973,2448,29.0798451
Narasapuram,Andhra Pradesh,M,"58,770",,920,23,35,MEDIUM,52,159,0.756297091,54068,14,237854,2114,29.0798451
Nuzvid,Andhra Pradesh,M,"58,590",,926,24,35,HIGH,73,194,0.108702581,54254,24,237854,2220,29.0798451
Tezpur,Assam,M.B.,"58,559",,901,25,8,MEDIUM,94,159,0.022317482,52762,10,24720,2250,31.6182944
Una,Gujarat,M,"58,528",,863,24,36,HIGH,93,162,0.958529442,50510,10,284973,2069,29.0798451
Markapur,Andhra Pradesh,M,"58,462",,907,25,27,HIGH,96,125,0.280087579,53025,14,237854,2265,29.0798451
Sheopur,Madhya Pradesh,UA,"58,342",,922,24,31,LOW,57,165,0.575362358,53791,26,421365,2211,31.6182944
Thiruvarur,Tamil Nadu,M,"58,301",,901,24,29,LOW,83,116,0.098423012,52529,19,4684707,4816,29.0798451
Sidhpur,Gujarat,UA,"58,194",,847,23,40,HIGH,89,188,0.083519829,49290,21,284973,1946,31.6182944
Sahaswan,Uttar Pradesh,M.B,"58,184",,884,27,27,MEDIUM,64,174,0.40677465,51435,10,3104060,2384,31.6182944
Suratgarh,Rajasthan,M,"58,119",,859,23,37,LOW,59,144,0.105810638,49924,12,1475311,1974,29.0798451
Shajapur,Madhya Pradesh,UA,"57,818",,924,29,28,LOW,74,126,0.617464754,53424,20,421365,2677,31.6182944
Rayagada,Odisha,M,"57,759",,961,23,34,HIGH,64,148,0.646896802,55506,12,66971,2208,29.0798451
Lonavla,Maharashtra,M.Cl,"57,698",,887,28,40,MEDIUM,65,134,0.734080511,51178,26,4408916,2481,16.42975858
Ponnur,Andhra Pradesh,M,"57,640",,918,28,25,MEDIUM,99,114,0.549031032,52914,22,237854,2568,29.0798451
Kagaznagar,Telangana,M,"57,583",,923,29,28,HIGH,85,128,0.746332683,53149,30,126078,2674,29.0798451
Bhatapara,Chhattisgarh,M,"57,537",,956,23,32,MEDIUM,68,186,0.955974052,55005,16,6394,2197,29.0798451
Kandukur,Andhra Pradesh,M,"57,246",,891,26,28,MEDIUM,82,161,0.037570063,51006,24,237854,2314,29.0798451
Sangareddy,Telangana,M,"57,113",,932,24,30,MEDIUM,53,110,0.944622739,53229,20,126078,4023,29.0798451
Unjha,Gujarat,M,"57,108",,871,29,29,HIGH,70,135,0.686089081,49741,26,284973,2523,29.0798451
Lunglei,Mizoram,N.T,"57,011",,969,25,8,HIGH,74,171,0.690956596,55244,21,798,2420,31.6182944
Karimganj,Assam,M.B,"56,854",,900,23,11,MEDIUM,72,127,0.761793799,51169,11,24720,2068,31.6182944
Kannur,Kerala,M,"56,823",,974,29,28,LOW,93,124,0.676537862,55346,30,977479,2822,29.0798451
Bobbili,Andhra Pradesh,M,"56,819",,894,23,34,HIGH,81,107,0.27130672,50796,29,237854,2054,29.0798451
Mokameh,Bihar,M,"56,615",,924,23,25,HIGH,55,185,0.358316826,52312,18,923737,2123,29.0798451
Talegaon Dabhade,Maharashtra,M.Cl,"56,435",,872,25,27,LOW,85,152,0.672746415,49211,16,4408916,2178,16.42975858
Anjangaon,Maharashtra,M.Cl,"56,380",,881,26,31,LOW,68,142,0.475355277,49671,22,4408916,2288,16.42975858
Mangrol,Gujarat,UA,"56,320",,864,25,39,MEDIUM,95,116,0.15031884,48660,19,284973,2158,31.6182944
Sunam,Punjab,UA,"56,251",,886,28,27,MEDIUM,90,168,0.00981844,49838,21,242367,2478,31.6182944
Gangarampur,West Bengal,M,"56,175",,955,29,32,LOW,98,118,0.968341667,53647,28,1489500,2767,29.0798451
Thiruvallur,Tamil Nadu,M,"56,074",,913,24,39,MEDIUM,59,174,0.644200039,51196,26,4684707,27416,29.0798451
Pithoragarh,Uttarakhand,N.P.P,"56,044",,851,28,13,HIGH,98,159,0.615071246,47693,20,105882,528,31.6182944
Rath,Uttar Pradesh,M.B,"55,950",,873,23,26,LOW,76,127,0.517714775,48844,25,3104060,2006,31.6182944
Jatani,Odisha,M,"55,925",,939,25,38,MEDIUM,90,149,0.67711028,52514,20,66971,2345,29.0798451
Bellampalle,Telangana,M,"55,841",,928,25,30,HIGH,65,186,0.682022924,51820,21,126078,2318,29.0798451
Viramgam,Gujarat,M,"55,821",,845,28,27,HIGH,98,101,0.866782171,47169,26,284973,2364,29.0798451
Rajsamand,Rajasthan,M,"55,687",,870,27,30,LOW,92,199,0.507690425,48448,22,1475311,2347,29.0798451
Yanam,Puducherry,M,"55,626",,1023,23,40,LOW,89,133,0.89280862,,,106153,2351,29.0798451
Kottayam,Kerala,M,"55,374",,965,29,37,HIGH,53,184,0.337505727,53436,24,977479,2796,29.0798451
Panruti,Tamil Nadu,M,"55,346",,916,29,40,HIGH,71,181,0.514405026,50697,18,4684707,2654,29.0798451
Dhuri,Punjab,M.Cl,"55,225",,880,25,,LOW,76,172,0.848000602,48598,28,242367,2198,16.42975858
Challakere,Karnataka,C.M.C,"55,194",,939,24,32,MEDIUM,71,198,0.25525858,51827,13,636502,2252,31.6182944
Namakkal,Tamil Nadu,M,"55,145",,904,23,29,HIGH,82,177,0.604340946,49851,16,4684707,3004,31.6182944
Ramnagar,Uttarakhand,N.P.P,"54,787",,833,28,12,MEDIUM,97,158,0.434889363,45638,24,105882,2330,31.6182944
Sidhi,Madhya Pradesh,M,"54,331",,927,25,33,HIGH,79,195,0.129808404,50365,17,421365,2315,29.0798451
Kasaragod,Kerala,M,"54,172",,976,29,25,HIGH,92,118,0.194763069,52872,26,977479,2828,29.0798451
Modasa,Gujarat,M,"54,135",,842,26,32,HIGH,78,129,0.567413181,45582,30,284973,2187,29.0798451
Rayadurg,Andhra Pradesh,M,"54,125",,928,26,25,HIGH,68,138,0.588720191,50228,19,237854,2411,29.0798451
Supaul,Bihar,M,"54,085",,900,25,27,HIGH,52,121,0.755066336,48677,28,923737,2248,29.0798451
Kunnamkulam,Kerala,M,"54,071",,968,29,40,LOW,92,101,0.917571498,52341,11,977479,2805,29.0798451
Umred,Maharashtra,M.Cl,"53,971",,876,23,30,MEDIUM,99,115,0.216130141,47279,22,4408916,2013,16.42975858
Sibsagar,Assam,M.B,"53,854",,899,29,10,MEDIUM,62,163,0.043736493,48415,30,24720,2605,31.6182944
Mandi Dabwali,Haryana,M.C,"53,811",,832,26,27,MEDIUM,76,173,0.624482408,44771,29,303118,2161,11.42467203
Ottappalam,Kerala,M,"53,792",,963,31,26,HIGH,77,182,0.085783353,51802,18,977479,2983,29.0798451
Dumraon,Bihar,N.A.C,"53,618",,902,28,27,HIGH,79,165,0.68714453,48363,17,923737,2523,31.6182944
Samalkot,Andhra Pradesh,M,"53,602",,909,28,27,MEDIUM,99,188,0.310086639,48724,18,237854,2543,29.0798451
Jaggaiahpet,Andhra Pradesh,M,"53,530",,,,,MEDIUM,88,121,0.018629651,47213,19,237854,2203,29.0798451
Goalpara,Assam,M.B,"53,430",,,,,MEDIUM,62,121,0.408910954,48408,10,24720,2172,31.6182944
Tuni,Andhra Pradesh,M,"53,425",,875,29,38,MEDIUM,91,185,0.794995135,46747,17,237854,2535,29.0798451
Lachhmangarh,Rajasthan,M,"53,392",,849,29,36,MEDIUM,50,194,0.894732467,45330,27,1475311,2460,29.0798451
Bhongir,Telangana,M,"53,339",,928,29,31,LOW,60,185,0.369702304,49499,25,126078,2689,29.0798451
Amalapuram,Andhra Pradesh,M,"53,231",,874,26,38,HIGH,67,188,0.760845943,46524,30,237854,2270,31.6182944
Firozpur Cantt.,Punjab,C.B,"53,199",,885,29,39,MEDIUM,67,150,0.704052029,47081,22,242367,2564,31.6182944
Vikarabad,Telangana,M,"53,143",,927,29,27,HIGH,67,147,0.715420848,49264,13,126078,891,29.0798451
Manglaur,Uttarakhand,N.P.P.,"52,971",,833,24,15,MEDIUM,95,157,0.177672701,44125,19,105882,1997,31.6182944
Thiruvalla,Kerala,M,"52,883",,973,29,26,HIGH,85,116,0.028460162,51455,27,977479,2819,29.0798451
Sherkot,Uttar Pradesh,M.B,"52,880",,883,25,25,LOW,57,186,0.496717003,46693,20,3104060,2205,31.6182944
Palghar,Maharashtra,M.Cl,"52,677",,871,23,40,MEDIUM,82,199,0.593731977,45882,20,4408916,2001,16.42975858
Shegaon,Maharashtra,M.Cl,"52,423",,872,23,26,LOW,66,166,0.122788059,45713,30,4408916,2004,16.42975858
Jangaon,Telangana,M,"52,394",,925,25,26,MEDIUM,77,187,0.950781626,48464,30,126078,2310,29.0798451
Bheemunipatnam,Andhra Pradesh,M,"52,110",,909,25,34,HIGH,93,134,0.309234219,47368,15,237854,2270,29.0798451
Panna,Madhya Pradesh,UA,"52,057",,913,28,29,HIGH,57,108,0.613013303,47528,27,421365,2554,31.6182944
Thodupuzha,Kerala,M,"52,045",,972,29,25,MEDIUM,63,143,0.251821984,50588,10,977479,2816,29.0798451
Kathua,Jammu and Kashmir,M.Cl,"51,991",,908,26,8,MEDIUM,66,193,0.269989984,47208,29,58568,2359,16.42975858
Palitana,Gujarat,M,"51,944",,867,27,33,MEDIUM,81,148,0.918844915,45035,11,284973,2339,29.0798451
Arwal,Bihar,N.P.,"51,849",,910,25,39,MEDIUM,79,106,0.440229612,47183,12,923737,2273,31.6182944
Venkatagiri,Andhra Pradesh,M,"51,708",,887,25,37,MEDIUM,79,100,0.548848711,45865,17,237854,2215,29.0798451
Kalpi,Uttar Pradesh,NPP,"51,670",,882,26,34,LOW,90,110,,,,,2291,31.6182944
Rajgarh (Churu),Rajasthan,UA,"51,640",,870,26,26,HIGH,91,124,0.340973762,44927,13,1475311,2260,31.6182944
Sattenapalle,Andhra Pradesh,M,"51,404",,896,25,37,LOW,58,105,0.601696511,46058,19,237854,2238,29.0798451
Arsikere,Karnataka,T.M.C.,"51,336",,923,25,32,HIGH,63,177,0.20587987,47383,27,636502,2305,31.6182944
Ozar,Maharashtra,C.T,"51,297",,870,28,37,MEDIUM,90,123,0.48453468,44628,11,4408916,2434,31.6182944
Thirumangalam,Tamil Nadu,M,"51,194",,921,24,39,HIGH,86,156,0.958540204,47150,24,4684707,2208,29.0798451
Petlad,Gujarat,M,"51,147",,855,27,26,MEDIUM,52,136,0.277845017,43731,14,284973,2306,29.0798451
Sri Madhopur,Rajasthan,M,"51,000",,872,26,36,MEDIUM,78,200,0.894936832,44472,28,1475311,2265,29.0798451
Nasirabad,Rajasthan,C.B,"50,804",,876,26,26,LOW,65,171,0.296568956,44504,21,1475311,2275,31.6182944
Phaltan,Maharashtra,M.Cl,"50,800",,873,28,29,HIGH,98,115,0.494838939,44348,29,4408916,2442,16.42975858
Rampurhat,West Bengal,M,"50,613",,953,25,37,HIGH,58,153,0.069665037,48234,28,1489500,2380,29.0798451
Nanjangud,Karnataka,T.M.C,"50,598",,936,25,29,MEDIUM,55,105,0.078071226,47360,29,636502,2338,31.6182944
Jaspur,Uttarakhand,N.P.P,"50,523",,851,29,10,HIGH,61,154,0.806658963,42995,16,105882,2465,31.6182944
Forbesganj,Bihar,M,"50,475",,930,25,28,LOW,90,168,0.85562404,46942,25,923737,2323,29.0798451
Tundla,Uttar Pradesh,NPP,"50,423",,868,29,26,HIGH,50,132,0.255181351,43767,13,3104060,2515,31.6182944
Bhabua,Bihar,NP,"50,179",,906,26,28,LOW,80,101,0.28555061,45462,12,923737,2353,31.6182944
Sagara,Karnataka,T.M.C,"50,131",,940,27,28,MEDIUM,82,192,0.346714704,47123,25,636502,2536,31.6182944
Pithapuram,Andhra Pradesh,M,"50,103",,906,29,25,MEDIUM,57,133,0.318888338,45393,10,237854,2625,29.0798451
Sira,Karnataka,T.M.C,"50,088",,924,24,40,LOW,76,133,0.186556706,46281,24,636502,2216,31.6182944
Bhadrachalam,Telangana,C.T,"50,087",,923,28,28,MEDIUM,90,194,0.274420279,46230,23,126078,2582,31.6182944
Barbigha,Bihar,Np,"50,080",,923,28,25,HIGH,83,171,0.083325814,46224,29,923737,2582,31.6182944
Charkhi Dadri,Haryana,N.P.P,"49,985",,821,26,39,HIGH,85,191,0.593236668,41038,29,303118,2132,31.6182944
Chatra,Jharkhand,M,"49,985",,905,26,31,MEDIUM,70,104,0.430781271,45236,13,167785,2351,29.0798451
Palasa Kasibugga,Andhra Pradesh,N.P,"49,899",,924,25,39,LOW,71,151,0.765704446,46107,28,237854,2308,31.6182944
Nohar,Rajasthan,M,"49,835",,850,28,30,LOW,82,170,,,20,1475311,2378,29.0798451
Yevla,Maharashtra,M.Cl,"49,826",,886,28,25,LOW,65,102,0.624740622,44146,23,4408916,2478,16.42975858
Sirhind Fatehgarh Sahib,Punjab,M.Cl,"49,825",,872,26,40,LOW,65,142,0.806127943,43447,23,242367,2265,16.42975858
Bhainsa,Telangana,M,"49,764",,919,28,25,HIGH,85,106,0.123259734,45733,10,126078,2571,29.0798451
Parvathipuram,Andhra Pradesh,M,"49,714",,892,29,33,HIGH,72,174,0.914351998,44345,22,237854,2584,29.0798451
Shahade,Maharashtra,M.Cl,"49,696",,886,27,37,MEDIUM,71,153,0.059035819,44031,16,4408916,2390,16.42975858
Chalakudy,Kerala,M,"49,525",,968,29,34,HIGH,69,132,0.879425171,47940,23,977479,2805,29.0798451
Narkatiaganj,Bihar,N.Pd,"49,507",,923,25,35,MEDIUM,64,118,0.641151035,45695,11,923737,2305,31.6182944
Kapadvanj,Gujarat,M,"49,308",,861,27,30,HIGH,53,106,0.295148097,42454,28,284973,2322,29.0798451
Macherla,Andhra Pradesh,M,"49,221",,888,26,30,HIGH,94,167,0.236419289,43708,21,237854,2307,29.0798451
Raghogarh-Vijaypur,Madhya Pradesh,M,"49,173",,923,24,29,MEDIUM,59,181,0.622218169,45387,29,421365,2213,29.0798451
Rupnagar,Punjab,M.Cl,"49,159",,893,23,33,HIGH,92,180,0.020325433,43899,17,242367,2052,16.42975858
Naugachhia,Bihar,N.P,"49,069",,907,28,30,HIGH,58,138,0.788243345,44506,10,923737,2537,31.6182944
Sendhwa,Madhya Pradesh,M,"48,941",,928,23,26,MEDIUM,91,157,0.116238831,45417,23,421365,2132,29.0798451
Byasanagar,Odisha,M,"48,911",,952,27,31,HIGH,83,105,0.101491167,46563,23,66971,2568,29.0798451
Sandila,Uttar Pradesh,M.B,"48,899",,866,24,30,HIGH,96,125,0.527589944,42347,12,3104060,2076,31.6182944
Gooty,Andhra Pradesh,C.T,"48,658",,930,28,40,HIGH,96,176,0.597466675,45252,27,237854,2602,31.6182944
Salur,Andhra Pradesh,M,"48,354",,891,29,39,LOW,54,194,0.182587426,43083,20,237854,2581,29.0798451
Nanpara,Uttar Pradesh,N.P.P,"48,337",,882,23,37,MEDIUM,66,128,0.490544094,42633,12,3104060,2027,31.6182944
Sardhana,Uttar Pradesh,M.B,"48,314",,882,27,25,HIGH,73,105,0.552334037,42613,11,3104060,2379,31.6182944
Vita,Maharashtra,M.Cl,"48,289",,876,25,34,HIGH,61,104,0.757901428,42301,13,4408916,2188,16.42975858
Gumia,Jharkhand,C.T,"48,141",,900,27,40,MEDIUM,51,132,0.675552545,43327,15,167785,2428,31.6182944
Puttur,Karnataka,T.M.C,"48,070",,927,24,26,LOW,75,156,0.942870354,44561,26,636502,2223,31.6182944
Jalandhar Cantt.,Punjab,C.B,"47,845",,868,24,30,MEDIUM,92,165,0.513373935,41529,15,242367,2081,31.6182944
